brand_string,brand_id,symbol_id,url,preprocessed_index
PRICES,30533,11944,https://www.amazon.com/Prices-Pimento-Cheese-Spread-Ounce/dp/B07NVZ24LM,21822
THE LAUGHING COW,30533,11944,https://www.amazon.com/Laughing-Cow-Spreadable-Original-Swiss/dp/B00032DFOS,11212
GHOST,30673,11945,https://www.amazon.com/GHOST-Ghost-Amino-V2/dp/B07QMJRLRL,7133
GIMME,30690,11946,https://www.amazon.com/dp/B0BFX4GG61/,8421
CANILLA,30415,11947,https://www.amazon.com/Golden-Canilla-Enriched-Parboiled-Parbolizado/dp/B071YNCNJQ,3623
CORTES,30415,11947,https://www.amazon.com/Cortes-Chorizo-Peruano-Sausage-Pack/dp/B076Q23QHJ,27877
CRUZ DE MALTA,30415,11947,https://www.amazon.com/YERBA-MATE-CRUZ-MALTA-2-2lb/dp/B00E3UI0SC,32855
DIANA,30415,11947,https://www.amazon.com/Diana-Palitos-Sticks-Yellow-crunchy/dp/B08TTNNM4R,10404
DONAREPA,30415,11947,https://www.amazon.com/Donarepa-Precooked-Country-Style-Flour/dp/B004TD5JV4,16205
EL JIBARITO,30415,11947,https://www.amazon.com/Goya-Elhombre-Vegetable-Pigeon-29-Ounce/dp/B008BRLN8M,6020
GOYA,30415,11947,https://www.amazon.com/Goya-Foods-Strawberry-Banana-Smoothie/dp/B09HJSV96G,15651
GOYA MASAREPA,30415,11947,https://www.amazon.com/Pack-Masarepa-Yellow-Harina-Amarilla/dp/B07L17H68B,15654
LAVINA,30415,11947,https://www.amazon.com/Lavina-Diamond-Segments-Coatings-Rotation/dp/B0723B5P9D,4994
NELA,30415,11947,https://www.amazon.com/Nela-Premium-Chrome-Smoothing-Trowel/dp/B00MAOFYLE,4929
NOBRAND,30415,11947,https://www.amazon.com/Cosplay-Cowboy-Holster-Masquerade-Vintage/dp/B07ZZ8VDZV,10812
SANCHIS MIRA,30415,11947,https://www.amazon.com/dp/B00FERNMJ0,3093
DELECTABLES,30401,11949,https://www.amazon.com/Delectables-Squeeze-Treats-Bundle-Pouches/dp/B07XPKP4TB,6795
HARTZ,30401,11949,https://www.amazon.com/HARTZ-Just-Cats-Variety-Pack/dp/B00KFOH8PQ,5749
WARDLEY,30401,11949,https://www.amazon.com/Wardley-Premium-Amphibian-Reptile-Food/dp/B0002ARY7A,1925
ARIZONA,30369,11953,https://www.amazon.com/Arizona-Green-Tea-11-5-Ounce-Pack/dp/B004OQ7A68,27886
BRUNO BANANI,30328,11956,https://www.amazon.com/Bruno-Banani-Dangerous-Woman-Toilette/dp/B00B7X9PL4,30804
CALVIN KLEIN,30328,11956,https://www.amazon.com/dp/B07JH1QBQ4,2394
CARIBOU COFFEE,30328,11956,https://www.amazon.com/Caribou-Coffee-Mahogany-Guatemala-Sustainable/dp/B01FTEEDEA,5205
CERRUTI 1881,30328,11956,https://www.amazon.com/Cerruti-Nino-Toilette-Spray-Ounces/dp/B000C1W0UK,9605
CHLOE,30328,11956,https://www.amazon.com/Chloe-Nomade-Piece-Set-Women/dp/B07QB45HY3,14282
DAVID BECKHAM,30328,11956,https://www.amazon.com/dp/B06W9F326G,3494
ECHO,30328,11956,https://www.amazon.com/Echo-Trip-Fly-Rod/dp/B07WHKPJ12,2726
EINSTEIN,30328,11956,https://www.amazon.com/Einstein-Notebook-Decorative-Notebooks/dp/0486261972,5516
EINSTEIN BROS,30328,11956,https://www.amazon.com/dp/B08QTQZYFV,5517
ELITE MODELS,30328,11956,https://www.amazon.com/FRAGRANCE-Elite-Models-York-FN243074/dp/B00DM9ZELG,7564
HARAJUKU LOVERS,30328,11956,https://www.amazon.com/dp/B00LS0K632,5122
HAWAIIAN PUNCH,30328,11956,https://www.amazon.com/Hawaiian-Punch-Lemon-Squeeze-bottles/dp/B004FEGLLE,6552
INTELLIGENTSIA,30328,11956,https://www.amazon.com/Intelligentsia-Classic-Espresso-Coffee-12-Ounce/dp/B0055ZRUOO,8692
KATE MOSS,30328,11956,https://www.amazon.com/Kate-Moss-Summer-Toilette-Spray/dp/B003O7E6LK,3189
KYLIE,30328,11956,https://www.amazon.com/dp/B08K42D738,18163
KYLIE COSMETICS,30328,11956,https://www.amazon.com/Kylie-Jenner-Gloss-Metal-Lipstick/dp/B01M73I2M3,18164
KYLIE SKIN,30328,11956,https://www.amazon.com/Kylie-Skin-Foaming-Cleanses-Removing/dp/B07SSNXQQV,18166
LANCASTER,30328,11956,https://www.amazon.com/LANCASTER-Ikon-Small-Bucket-Bag/dp/B01GXHNZFK,2708
MARC JACOBS,30328,11956,https://www.amazon.com/Marc-Jacobs-Mini-Grind-Leather/dp/B0B6238PHB,5601
MARC JACOBS PERFECT,30328,11956,https://www.amazon.com/dp/B0B5B2M72V,5602
MIGHTY LEAF,30328,11956,https://www.amazon.com/dp/B000MAV34K,17992
NANTUCKET NECTARS,30328,11956,https://www.amazon.com/Nantucket-Nectars-Pomegranate-Cherry-Bottles/dp/B07C9BWHGV,1526
NOBRAND,30328,11956,https://www.amazon.com/Cosplay-Cowboy-Holster-Masquerade-Vintage/dp/B07ZZ8VDZV,10812
PEETS COFFEE,30328,11956,https://www.amazon.com/Peets-Coffee-Major-Dickasons-Ground/dp/B0071H5VTU,6704
PHILOSOPHY,30328,11956,https://www.amazon.com/philosophy-purity-made-simple-cream/dp/B07FTH5ZPV,10684
SCHWEPPES,30328,11956,https://www.amazon.com/Schweppes-Ginger-Soda-Caffeine-Free/dp/B002U5C0WE,6863
SEE BY CHLOE,30328,11956,https://www.amazon.com/dp/B082P3DFCS,9307
SJP,30328,11956,https://www.amazon.com/Lovely-Body-Mist-Women-Ultra-Glamorous/dp/B07CZW5X9R,21301
SNAPPLE,30328,11956,https://www.amazon.com/dp/B07GRKG2MT,25924
STUMPTOWN COFFEE ROASTERS,30328,11956,https://www.amazon.com/Stumptown-Coffee-Roasters-Homestead-Chocolate/dp/B076ZYP9N3/,40259
VERA WANG,30328,11956,https://www.amazon.com/Vera-Wang-Glam-Princess-Women/dp/B0031AZK4W,4204
WELCHS,30328,11956,https://www.amazon.com/Welchs-Concord-Grape-Gelatin-Ounce/dp/B01NACG03D,5183
CHICKEN HELPER,30395,11959,https://www.amazon.com/Crocker-Chicken-Helper-Fettuccine-Alfredo/dp/B018233TX6/,13327
HAMBURGER HELPER,30395,11959,https://www.amazon.com/Hamburger-Helper-Tomato-Basil-7-4-Ounce/dp/B000EFHSU6,2516
MILNOT,30395,11959,https://www.amazon.com/Milnot-Condensed-Milk-12-Ounce-Pack/dp/B0047YYTUM,19087
PET,30395,11959,https://www.amazon.com/dp/B00ONHBN70,8847
SUNSHINE,30395,11959,https://www.amazon.com/Sunshine-Polishing-Cloths-Jewelry-Cleaner/dp/B01N4NYU91,43499
TUNA HELPER,30395,11959,https://www.amazon.com/Crocker-Tuna-Helper-Fettuccine-Alfredo/dp/B0029K162K,29442
PURINA,30228,11960,https://www.amazon.com/Purina-Beggin-Strips-Snacks-Bacon/dp/B005XBP3IK/,27482
ANGEL SOFT,30229,11960,https://www.amazon.com/Angel-Soft%C2%AE-Toilet-Regular-Tissue/dp/B09NW7ZP8H,20652
ARIA,30229,11960,https://www.amazon.com/dp/B0CN6F139X,27673
BRAWNY,30229,11960,https://www.amazon.com/Brawny-Paper-Towels-Pick-Regular/dp/B07BMNNR83,28502
BRAWNY INDUSTRIAL,30229,11960,https://www.amazon.com/dp/B01CTACFXS,28503
DIXIE,30229,11960,https://www.amazon.com/Dixie-5342COMBO600-DXE5342COMBO600-PerfecTouch-Cup/dp/B00Q2WU68Q,13304
DIXIE ULTRA,30229,11960,https://www.amazon.com/Dixie-Ultra-Plates-Printed-Disposable/dp/B0748G27Q7,13324
ENMOTION,30229,11960,https://www.amazon.com/59462-Automated-Touchless-Dispenser-Translucent/dp/B015X6E7FY,10371
ENVISION,30229,11960,https://www.amazon.com/enVision-Geometry-Teacher-Assessment-Resource/dp/0328932035,10857
GEORGIA PACIFIC,30229,11960,https://www.amazon.com/dp/B007G0WB1S,5917
MARATHON,30229,11960,https://www.amazon.com/MARATHON-CL030068-Panoramic-Atomic-Stainless/dp/B07C248LQW,5511
MARDI GRAS,30229,11960,https://www.amazon.com/dp/B078QDC7B5,5756
MD,30229,11960,https://www.amazon.com/MD-Barber-Tuxedo-Cape-Gold/dp/B01G647TC0,10715
PACIFIC BLUE SELECT,30229,11960,https://www.amazon.com/Pacific-Blue-Select-Multifold-Previously/dp/B07HJ9S256/,379
POM,30229,11960,https://www.amazon.com/dp/B087PPJ9CT,17362
QUILTED NORTHERN,30229,11960,https://www.amazon.com/Quilted-Northern-Strong-Toilet-Tissue/dp/B01JRJ3CXG,3715
SOFPULL,30229,11960,https://www.amazon.com/Georgia-Pacific-Sofpull-Centerpull-Dispenser/dp/B00RKFUU76,27532
SPARKLE,30229,11960,https://www.amazon.com/dp/B09NW92T8Q,31621
STAINMASTER,30229,11960,https://www.amazon.com/Stainmaster-Carpet-Stain-Remover-Cleaner/dp/B07X4Z3VJX,35676
VANITY FAIR,30229,11960,https://www.amazon.com/dp/B07X4ZGYRB,1610
WINDSOFT,30229,11960,https://www.amazon.com/Windsoft-Single-Premium-Tissue-Sheets/dp/B003BM3SQ2,10056
KOZY SHACK,30366,11961,https://www.amazon.com/dp/B00E63BPE2,15284
LAND O LAKES,30366,11961,https://www.amazon.com/dp/B00F2259PW,2771
GOLDEN ISLAND,30375,11962,https://www.amazon.com/dp/B0BZ9M9C13,12972
JACK LINKS,30375,11962,https://www.amazon.com/Jack-Links-Original-Protein-5-0-625oz/dp/B015SQAWLW/,570
